Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-09-11,46.147,46.582,45.858,45.943,4095000,0.0,0.0
2017-09-12,45.969,46.19,45.764,45.858,1827400,0.0,0.0
2017-09-13,45.739,45.798,45.526,45.577,1853200,0.0,0.0
2017-09-14,45.551,45.653,45.066,45.424,2345000,0.0,0.0
2017-09-15,45.406,45.764,45.364,45.747,2990400,0.0,0.0
2017-09-18,45.832,45.977,45.653,45.849,1883800,0.0,0.0
2017-09-19,45.79,46.556,45.79,46.343,1983800,0.0,0.0
2017-09-20,46.377,47.127,46.377,46.957,2157800,0.0,0.0
2017-09-21,46.948,47.221,46.275,46.292,2064700,0.0,0.0
2017-09-22,46.233,46.42,46.011,46.377,1427900,0.0,0.0
2017-09-25,46.326,46.718,46.173,46.573,1282300,0.0,0.0
2017-09-26,46.471,46.906,46.377,46.761,2504900,0.0,0.0
2017-09-27,47.195,47.263,46.854,46.88,1707200,0.0,0.0
2017-09-28,46.761,47.067,46.548,46.948,1101600,0.0,0.0
2017-09-29,46.82,47.229,46.752,47.212,1315600,0.0,0.0
2017-10-02,47.604,47.672,47.178,47.357,2596300,0.0,0.0
2017-10-03,47.306,47.451,47.118,47.204,2262300,0.0,0.0
2017-10-04,47.212,47.536,47.153,47.425,1736400,0.0,0.0
2017-10-05,47.459,47.587,47.187,47.263,1904200,0.0,0.0
2017-10-06,47.417,47.638,47.314,47.374,1430000,0.0,0.0
2017-10-09,47.391,47.587,47.178,47.34,1159300,0.0,0.0
2017-10-10,47.255,47.681,47.255,47.638,1869400,0.0,0.0
2017-10-11,47.527,47.647,47.28,47.587,978300,0.0,0.0
2017-10-12,47.587,47.698,47.451,47.578,1454300,0.0,0.0
2017-10-13,47.638,47.936,47.468,47.689,1239000,0.0,0.0
2017-10-16,47.698,47.919,47.595,47.766,1196100,0.0,0.0
2017-10-17,47.962,47.979,47.485,47.536,1550400,0.0,0.0
2017-10-18,47.613,47.706,47.229,47.289,1639300,0.0,0.0
2017-10-19,47.246,48.107,47.178,48.098,1333200,0.0,0.0
2017-10-20,48.456,48.541,48.047,48.115,1146200,0.0,0.0
2017-10-23,45.986,46.429,45.653,46.045,4906100,0.0,0.0
2017-10-24,46.301,46.803,46.105,46.744,3563200,0.0,0.0
2017-10-25,46.642,47.195,46.42,46.71,2202700,0.0,0.0
2017-10-26,47.016,47.34,46.727,47.323,2800400,0.0,0.0
2017-10-27,47.204,47.229,46.88,47.016,2175200,0.0,0.0
2017-10-30,46.923,47.34,46.906,46.999,1366100,0.0,0.0
2017-10-31,46.948,47.101,46.607,46.889,1933100,0.0,0.0
2017-11-01,47.101,47.51,46.965,47.059,2233700,0.0,0.0
2017-11-02,47.101,47.74,46.982,47.451,1679100,0.0,0.0
2017-11-03,47.118,47.561,47.025,47.561,1544300,0.0,0.0
2017-11-06,47.57,47.672,47.263,47.604,1337200,0.0,0.0
2017-11-07,47.698,47.902,47.025,47.136,1700700,0.0,0.0
2017-11-08,47.153,47.246,46.931,47.016,1560800,0.0,0.0
2017-11-09,46.863,47.161,46.71,47.059,1675800,0.0,0.0
2017-11-10,47.008,47.365,46.914,47.289,1280700,0.0,0.0
2017-11-13,47.212,47.536,47.067,47.434,1721100,0.0,0.0
2017-11-14,47.212,47.919,47.212,47.885,1820200,0.0,0.0
2017-11-15,47.595,48.524,47.519,48.268,2386700,0.0,0.0
2017-11-16,48.336,48.618,47.595,47.706,2145300,0.0,0.0
2017-11-17,47.51,48.141,47.314,47.817,1443300,0.0,0.0
2017-11-20,47.766,48.089,47.544,47.57,2225800,0.0,0.0
2017-11-21,47.698,47.919,47.647,47.774,1321000,0.0,0.0
2017-11-22,47.808,47.877,47.4,47.51,1129200,0.0,0.0
2017-11-24,47.749,47.808,47.366,47.391,435600,0.0,0.0
2017-11-27,47.468,47.689,47.391,47.527,1064400,0.0,0.0
2017-11-28,47.468,48.413,47.348,48.285,1682300,0.0,0.0
2017-11-29,48.549,49.537,48.405,49.103,2413700,0.0,0.0
2017-11-30,49.42,49.556,48.624,49.137,2099600,0.25,0.0
2017-12-01,49.223,49.317,48.008,49.129,1754700,0.0,0.0
2017-12-04,49.616,50.138,48.333,48.333,4029300,0.0,0.0
2017-12-05,48.359,48.521,46.528,46.742,4893800,0.0,0.0
2017-12-06,46.588,47.041,46.348,46.982,3541400,0.0,0.0
2017-12-07,46.656,47.11,46.614,46.853,2062900,0.0,0.0
2017-12-08,46.862,47.212,46.742,47.195,2172000,0.0,0.0
2017-12-11,47.221,47.409,46.93,47.409,2123200,0.0,0.0
2017-12-12,47.478,48.034,47.392,47.931,2633900,0.0,0.0
2017-12-13,47.811,47.94,47.452,47.52,3273700,0.0,0.0
2017-12-14,47.623,47.7,47.101,47.23,2670300,0.0,0.0
2017-12-15,47.392,47.982,47.195,47.692,4792500,0.0,0.0
2017-12-18,48.094,48.102,47.418,47.597,2499000,0.0,0.0
2017-12-19,48.496,48.787,47.965,48.53,3612900,0.0,0.0
2017-12-20,48.71,48.881,48.162,48.205,2977200,0.0,0.0
2017-12-21,48.436,48.59,47.7,47.846,2187900,0.0,0.0
2017-12-22,47.94,48.008,47.11,47.52,1689400,0.0,0.0
2017-12-26,47.615,47.905,47.503,47.88,976000,0.0,0.0
2017-12-27,47.897,48.196,47.726,48.145,856800,0.0,0.0
2017-12-28,48.316,48.41,48.179,48.384,839800,0.0,0.0
2017-12-29,48.547,48.581,48.145,48.145,935600,0.0,0.0
2018-01-02,48.196,48.53,47.067,47.281,1568100,0.0,0.0
2018-01-03,47.136,47.178,46.443,46.905,3156900,0.0,0.0
2018-01-04,47.153,47.666,47.007,47.392,1593400,0.0,0.0
2018-01-05,47.401,47.426,47.007,47.187,1132400,0.0,0.0
2018-01-08,47.161,47.17,46.725,46.862,1660800,0.0,0.0
2018-01-09,47.101,47.418,46.862,47.024,2313800,0.0,0.0
2018-01-10,47.153,47.324,46.879,47.084,1891000,0.0,0.0
2018-01-11,47.358,47.401,46.939,47.127,1374100,0.0,0.0
2018-01-12,47.315,47.332,46.905,47.298,2571600,0.0,0.0
2018-01-16,47.401,47.512,47.144,47.255,1768600,0.0,0.0
2018-01-17,47.478,48.265,47.307,48.102,2112800,0.0,0.0
2018-01-18,48.094,48.307,47.76,47.982,1754600,0.0,0.0
2018-01-19,48.042,48.111,47.503,47.871,2271500,0.0,0.0
2018-01-22,47.828,48.051,47.597,47.948,2521400,0.0,0.0
2018-01-23,47.82,48.521,47.777,48.479,3943700,0.0,0.0
2018-01-24,48.607,49.847,48.607,49.745,3924000,0.0,0.0
2018-01-25,49.736,50.172,49.402,50.035,2519500,0.0,0.0
2018-01-26,50.095,50.592,50.053,50.566,2419600,0.0,0.0
2018-01-29,50.472,50.643,49.779,49.976,2424300,0.0,0.0
2018-01-30,49.693,50.027,49.462,49.83,2346200,0.0,0.0
2018-01-31,49.0,50.378,49.0,50.266,2281900,0.0,0.0
2018-02-01,50.13,50.412,49.856,50.275,2377500,0.0,0.0
2018-02-02,50.061,50.292,49.531,49.625,1782400,0.0,0.0
2018-02-05,49.163,49.83,47.495,47.546,3616700,0.0,0.0
2018-02-06,46.905,47.426,45.733,47.161,4041100,0.0,0.0
2018-02-07,46.913,48.393,46.862,47.786,2411800,0.0,0.0
2018-02-08,47.751,48.068,45.536,45.63,4162100,0.0,0.0
2018-02-09,46.254,46.571,44.98,46.177,3656300,0.0,0.0
2018-02-12,46.451,47.127,45.613,45.767,3342100,0.0,0.0
2018-02-13,45.613,46.314,45.322,46.169,1715700,0.0,0.0
2018-02-14,45.955,46.708,45.758,46.648,1952600,0.0,0.0
2018-02-15,46.973,46.99,46.289,46.588,2543200,0.0,0.0
2018-02-16,46.434,46.964,46.306,46.314,3752000,0.0,0.0
2018-02-20,46.22,46.554,45.724,46.041,2933000,0.0,0.0
2018-02-21,46.092,46.725,45.946,46.152,2133900,0.0,0.0
2018-02-22,46.212,46.52,45.339,45.527,2427600,0.0,0.0
2018-02-23,45.707,46.263,45.467,46.229,1653100,0.0,0.0
2018-02-26,46.417,46.828,46.297,46.622,1673800,0.0,0.0
