Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-22,24.491,24.724,24.24,24.472,2829100,0.0,0.0
2017-06-23,24.375,24.811,24.288,24.704,5125900,0.0,0.0
2017-06-26,21.928,23.853,21.909,23.224,20212400,0.0,0.0
2017-06-27,22.895,23.128,21.048,21.125,21131000,0.0,0.0
2017-06-28,21.328,22.683,21.309,22.344,10870100,0.0,0.0
2017-06-29,22.296,22.528,22.054,22.073,6027300,0.0,0.0
2017-06-30,22.073,22.189,21.406,21.909,7657800,0.0,0.0
2017-07-03,21.996,22.431,21.948,22.093,3383100,0.0,0.0
2017-07-05,22.141,22.286,21.928,22.238,5642900,0.0,0.0
2017-07-06,22.199,22.489,22.006,22.17,4444000,0.0,0.0
2017-07-07,22.18,22.557,22.044,22.373,3127500,0.0,0.0
2017-07-10,22.712,23.36,22.489,23.05,5407600,0.0,0.0
2017-07-11,23.137,23.418,22.924,23.234,4333200,0.0,0.0
2017-07-12,23.427,23.65,23.292,23.398,2790000,0.0,0.0
2017-07-13,23.66,23.737,23.369,23.65,4456800,0.0,0.0
2017-07-14,23.476,23.756,23.311,23.592,2624000,0.0,0.0
2017-07-17,23.602,24.404,23.524,24.134,4296900,0.0,0.0
2017-07-18,24.095,24.221,23.872,24.066,2805500,0.0,0.0
2017-07-19,24.182,24.375,24.008,24.298,2238100,0.0,0.0
2017-07-20,24.24,24.491,23.93,23.94,6083700,0.0,0.0
2017-07-21,23.969,24.385,23.863,24.385,3798200,0.0,0.0
2017-07-24,24.927,25.149,23.988,24.346,5686800,0.0,0.0
2017-07-25,24.666,25.246,24.579,25.072,4657400,0.0,0.0
2017-07-26,25.101,25.101,24.733,24.753,3004800,0.0,0.0
2017-07-27,24.869,24.956,24.221,24.298,3346000,0.0,0.0
2017-07-28,24.221,24.559,24.066,24.134,1913500,0.0,0.0
2017-07-31,24.24,24.327,23.795,23.979,2454800,0.0,0.0
2017-08-01,24.124,24.337,23.669,24.279,3243000,0.0,0.0
2017-08-02,24.211,24.395,24.046,24.124,5033500,0.06,0.0
2017-08-03,24.085,24.589,23.901,24.56,4895900,0.0,0.0
2017-08-04,24.647,24.705,24.308,24.366,2263100,0.0,0.0
2017-08-07,24.366,24.793,24.308,24.57,2877300,0.0,0.0
2017-08-08,24.453,24.783,24.211,24.23,3577900,0.0,0.0
2017-08-09,24.201,24.269,23.736,23.901,2572300,0.0,0.0
2017-08-10,23.823,23.901,23.241,23.29,2755700,0.0,0.0
2017-08-11,23.202,23.513,23.173,23.261,2300900,0.0,0.0
2017-08-14,23.435,23.901,23.338,23.813,1861300,0.0,0.0
2017-08-15,23.842,24.027,23.668,23.997,3086700,0.0,0.0
2017-08-16,24.153,24.424,24.027,24.085,3525100,0.0,0.0
2017-08-17,23.91,24.211,23.522,23.542,1657300,0.0,0.0
2017-08-18,23.464,23.784,23.29,23.551,2607500,0.0,0.0
2017-08-21,23.581,23.997,23.561,23.736,2693900,0.0,0.0
2017-08-22,24.24,24.957,24.094,24.909,3544400,0.0,0.0
2017-08-23,24.725,25.122,24.676,24.793,2017200,0.0,0.0
2017-08-24,24.919,25.132,24.657,24.696,2280400,0.0,0.0
2017-08-25,24.812,24.87,24.482,24.482,1841400,0.0,0.0
2017-08-28,24.579,24.667,24.317,24.405,1628900,0.0,0.0
2017-08-29,24.191,24.647,23.774,24.579,1683400,0.0,0.0
2017-08-30,24.579,24.725,24.366,24.628,1445600,0.0,0.0
2017-08-31,24.705,24.919,24.57,24.696,3209400,0.0,0.0
2017-09-01,24.773,24.996,24.725,24.734,2925100,0.0,0.0
2017-09-05,24.705,24.705,23.464,23.648,5200300,0.0,0.0
2017-09-06,23.755,24.046,23.581,23.6,4584700,0.0,0.0
2017-09-07,23.648,23.707,23.377,23.522,2492200,0.0,0.0
2017-09-08,23.493,23.755,23.28,23.678,4176900,0.0,0.0
2017-09-11,23.823,24.414,23.804,24.22,3091900,0.0,0.0
2017-09-12,24.279,24.444,24.211,24.395,1941100,0.0,0.0
2017-09-13,24.395,24.647,24.22,24.482,2281100,0.0,0.0
2017-09-14,24.366,24.667,24.124,24.589,2377200,0.0,0.0
2017-09-15,24.599,24.725,24.385,24.57,10943500,0.0,0.0
2017-09-18,24.608,24.715,24.444,24.57,1899900,0.0,0.0
2017-09-19,24.579,25.171,24.395,25.151,4252700,0.0,0.0
2017-09-20,25.161,25.403,24.986,25.403,3045400,0.0,0.0
2017-09-21,25.394,26.024,25.171,25.975,3813500,0.0,0.0
2017-09-22,25.791,25.937,25.306,25.413,3748100,0.0,0.0
2017-09-25,25.413,25.685,25.074,25.336,4532800,0.0,0.0
2017-09-26,25.471,25.549,25.287,25.471,3388400,0.0,0.0
2017-09-27,25.646,25.752,25.287,25.578,2927600,0.0,0.0
2017-09-28,25.578,25.578,25.219,25.229,1947100,0.0,0.0
2017-09-29,25.248,25.248,23.804,24.124,8422300,0.0,0.0
2017-10-02,24.191,25.132,24.172,25.132,5674500,0.0,0.0
2017-10-03,25.054,25.752,24.957,25.336,6068700,0.0,0.0
2017-10-04,25.355,26.063,25.355,25.956,3888100,0.0,0.0
2017-10-05,25.84,26.276,25.84,26.034,3655500,0.0,0.0
2017-10-06,25.869,26.325,25.733,26.276,2812100,0.0,0.0
2017-10-09,26.344,26.809,26.286,26.557,3748700,0.0,0.0
2017-10-10,26.8,27.003,26.451,26.557,2550100,0.0,0.0
2017-10-11,26.451,26.994,26.295,26.518,6910500,0.0,0.0
2017-10-12,26.441,26.848,26.257,26.722,3622100,0.0,0.0
2017-10-13,26.829,26.838,26.218,26.334,9037800,0.0,0.0
2017-10-16,26.412,26.606,26.179,26.344,3417000,0.0,0.0
2017-10-17,26.179,26.402,25.956,26.024,2191500,0.0,0.0
2017-10-18,26.005,26.131,25.859,26.072,2424600,0.0,0.0
2017-10-19,25.84,25.879,25.529,25.869,2878100,0.0,0.0
2017-10-20,26.121,26.48,26.014,26.344,4236900,0.0,0.0
2017-10-23,26.586,26.712,23.513,23.61,12679500,0.0,0.0
2017-10-24,23.774,24.453,23.202,23.59,7952300,0.0,0.0
2017-10-25,23.581,24.211,23.387,24.094,4187300,0.0,0.0
2017-10-26,24.23,24.317,23.551,23.842,5047000,0.0,0.0
2017-10-27,23.765,23.92,23.6,23.862,2927300,0.0,0.0
2017-10-30,23.726,24.075,23.581,24.027,2923400,0.0,0.0
2017-10-31,24.007,24.385,23.891,24.356,2998700,0.0,0.0
2017-11-01,24.482,24.851,24.24,24.356,4198800,0.0,0.0
2017-11-02,24.317,24.609,24.094,24.531,3331100,0.06,0.0
2017-11-03,24.453,24.823,24.317,24.628,2715000,0.0,0.0
2017-11-06,24.638,25.046,24.521,24.891,4326600,0.0,0.0
